url,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
https://en.wikipedia.org/wiki/Animal,0,0,0.0,0.0,2.0,33.33333333333333,14.533333333333331,2.0,1,3,6.0,1,6.0
https://en.wikipedia.org/wiki/Car,0,0,0.0,0.0,1.0,0.0,0.4,1.0,0,1,4.0,0,4.0
https://en.wikipedia.org/wiki/India,0,0,0.0,0.0,8.0,0.0,4.0,10.0,0,10,1.6,0,1.6
